ra       dec         new_ra      new_dec         radius 
2.61       10.9747222222       2.6276885       +10.9655910       0.00373609473793       737 
2.625       28.6805555556       2.6202818       +28.6706696       0.00567981474374       748 
2.65       13.7186111111       2.6692287       +13.7101437       0.0138012930676       757 
2.68125       28.5641666667       2.6803936       +28.5661357       0.00284456001889       762 
2.69625       33.3513888889       2.6957196       +33.3526808       0.00749682424383       767 
2.7       25.5513888889       2.7231682       +25.5632425       0.00250075508952       772 
2.72791666667       -21.0686111111       2.7263164       -21.0674989       0.00483933539138       774 
2.81291666667       28.9038888889       2.8094789       +28.9064637       0.00524833564033       791 
2.84375       6.38972222222       2.8429219       +6.3893101       0.0135046325686       798 
2.95       -1.08694444444       2.9499347       -1.0883834       0.00459323459686       825 
3.01833333333       24.9872222222       3.0250316       +24.9883684       0.00610654692015       832 
3.03333333333       12.0447222222       3.0371367       +12.0458225       0.00443419273901       833 
3.03833333333       27.9111111111       3.0391015       +27.9097912       0.00317781897442       835 
3.06583333333       22.3219444444       3.0653864       +22.3218357       0.00616001795703       847 
3.08041666667       31.0622222222       3.0784691       +31.0611170       0.00622445095983       852 
3.2       22.1072222222       3.2290812       +22.1019588       0.00341794968407       867 
3.22875       33.3594444444       3.2274282       +33.3611571       0.00980155975761       869 
3.2625       14.4108333333       3.2622936       +14.4097960       0.00510824579854       878 
3.3       17.0252777778       3.3164991       +17.0322467       0.00471468551079       889 
3.36375       17.485       3.3621254       +17.4862216       0.0052032201703       897 
3.43125       30.1947222222       3.4366777       +30.1951904       0.00417436645531       908 
3.45       26.9677777778       3.4794492       +26.9722203       0.00399529636145       912 
3.45       35.9844444444       3.4615586       +35.9937896       0.0109489568977       913 
3.4825       28.7627777778       3.4822547       +28.7636888       0.00450955727736       919 
3.48708333333       30.8827777778       3.4871273       +30.8828762       0.00236470396853       921 
3.475       12.9827777778       3.5026814       +12.9635643       0.00558536816119       924 
3.525       7.41694444444       3.5242954       +7.4029506       0.00165026356581       937 
3.62041666667       -0.745277777778       3.6324347       -0.7375277       0.0129872080675       963 
3.62916666667       -7.16833333333       3.6276342       -7.1676410       0.0114336257318       967 
3.65       18.5727777778       3.6662712       +18.5824143       0.0119367391954       978 
3.68625       -7.34555555556       3.6860283       -7.3458229       0.0143418435552       983 
3.675       5.22888888889       3.6928918       +5.2145290       0.00323251542392       986 
3.78208333333       -7.10722222222       3.7818790       -7.1066992       0.00526213950586       1011 
3.8       5.88694444444       3.8120740       +5.8879522       0.00368805316434       1021 
3.825       -8.17722222222       3.8117400       -8.1881169       0.00338730277487       1027 
3.87916666667       17.3266666667       3.8787599       +17.3285083       0.0120402368669       1037 
3.88       25.1138888889       3.9193737       +25.1124075       0.00347103955821       1042 
